salary_id,employee_id,amount,effective_date,currency,market_ratio
SAL001,EMP001,8500000,2022-01-15,IDR,0.72
SAL002,EMP001,9000000,2023-01-01,IDR,0.75
SAL003,EMP002,12000000,2020-07-01,IDR,0.91
SAL004,EMP002,13000000,2023-01-01,IDR,0.95
SAL005,EMP003,7500000,2022-06-10,IDR,0.8
SAL006,EMP003,8000000,2023-06-01,IDR,0.83
SAL007,EMP004,10000000,2019-11-20,IDR,0.88
SAL008,EMP004,11000000,2023-01-01,IDR,0.92
SAL009,EMP005,14000000,2018-03-05,IDR,1.05
SAL010,EMP005,15500000,2023-01-01,IDR,1.1
SAL011,EMP006,7800000,2021-09-01,IDR,0.78
SAL012,EMP006,8200000,2023-01-01,IDR,0.8
SAL013,EMP007,9500000,2020-04-15,IDR,0.85
SAL014,EMP007,10500000,2023-01-01,IDR,0.9
SAL015,EMP008,8000000,2019-08-20,IDR,0.95
SAL016,EMP008,8800000,2023-01-01,IDR,1.0
SAL017,EMP009,18000000,2017-12-01,IDR,1.02
SAL018,EMP009,20000000,2023-01-01,IDR,1.05
SAL019,EMP010,6500000,2023-02-01,IDR,0.82
SAL020,EMP011,7200000,2021-05-10,IDR,0.86
SAL021,EMP011,7800000,2023-01-01,IDR,0.9
SAL022,EMP012,9000000,2020-01-15,IDR,0.93
SAL023,EMP012,9800000,2023-01-01,IDR,0.97
SAL024,EMP013,11000000,2021-11-01,IDR,0.88
SAL025,EMP013,12000000,2023-01-01,IDR,0.91
SAL026,EMP014,16000000,2018-06-01,IDR,1.0
SAL027,EMP014,18000000,2023-01-01,IDR,1.08
SAL028,EMP015,7000000,2022-09-01,IDR,0.79
